,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Variety
5025,Redigaffi Toscana 2017,Italy,Toscana,Tua Rita,4.5,40.0,190.08,2017,
964,Corton-Charlemagne Grand Cru 2016,France,Corton-Charlemagne Grand Cru,Domaine Henri Boillot,4.5,43.0,189.0,2016,
2292,Le Pergole Torte 2016,Italy,Toscana,Montevertine,4.5,200.0,193.03,2016,
551,Ürziger Würzgarten Riesling Auslese 2015,Germany,Mosel,Markus Molitor,4.5,35.0,99.95,2015,
627,LR 2015,Italy,Südtirol - Alto Adige,Colterenzio (Schreckbichl),4.5,36.0,77.01,2015,
656,Santigaìni 2015,Italy,Isola dei Nuraghi,Capichera,4.5,37.0,116.0,2015,
7079,Sperss Langhe 2011,Italy,Langhe,Gaja,4.5,657.0,212.43,2011,
882,Comtes de Champagne Blanc de Blancs 2007,France,Champagne,Taittinger,4.5,2326.0,157.81,2007,
274,Gran Enemigo 2015,Argentina,Mendoza,El Enemigo,4.5,1072.0,62.39,2015,
575,Cuvée Nicolas François Billecart Brut Champagne 2006,France,Champagne,Billecart-Salmon,4.5,355.0,144.27,2006,
585,Amour de Deutz Millésime Brut Champagne 2007,France,Champagne,Deutz,4.5,363.0,139.0,2007,
4447,La Creu Alta 2014,Spain,Priorat,Bodegas Mas Alta,4.5,35.0,86.76,2014,
4470,S.L.V. Cabernet Sauvignon 2015,United States,Napa Valley,Stag's Leap Wine Cellars,4.5,350.0,165.0,2015,
5135,Pomerol 2010,France,Pomerol,Château l'Eglise-Clinet,4.5,41.0,439.95,2010,
